Collection Name,Title,Part,Name,Name URI,Resource Type,Resource Type URI,Genre,Genre URI,Place Created,Publisher,Date Issued,Date Created,Edition,Issuance,Frequency,Language Term,Language Term URI,Language Term Type,Extent,Physical Description Note,Form#1,Form URI#1,Form#2,Form URI#2,Abstract,Table of Contents,Note,Note Type,Subject Topic#1,Subject Topic URI#1,Subject Topic#2,Subject Topic URI#2,Subject Topic#3,Subject Topic URI#3,Subject Topic#4,Subject Topic URI#4,Subject Name,Subject Name URI,Subject Geographic,Subject Geographic URI,Subject Temporal,Subject Temporal URI,Subject Title,Subject Title URI,Subject Genre,Subject Genre URI,Identifier,Identifier LUNA,Identifier ARK,Physical Location,Physical Location Type,Shelf Locator,Related Item,Related Item Type,Related Item Identifier,Related Item Location,Date Captured,Internet Media Type,Digital Origin,Access Condition,Access Condition URI
Lachlan McLean Photograph Collection,Almaden Mine Power House and Blazing Star Tunnel,,"McLean, Lachlan, 1843-1929",http://id.worldcat.org/fast/49182,Still image,http://id.loc.gov/vocabulary/resourceTypes/img,Photographs,http://id.loc.gov/authorities/genreForms/gf2017027249,,,,1872/1927,,,,English,http://id.loc.gov/vocabulary/iso639-2/eng,eng,1 glass plate negative,,glass plate negatives,http://vocab.getty.edu/page/aat/300393160,black-and-white photographs,http://vocab.getty.edu/page/aat/300128347,Aerial view of the Almaden Mine Power House and Blazing Star Tunnel. A miner stands outside the power house.,,,,Mines and mineral resources,http://id.worldcat.org/fast/1022541,Mine buildings,http://id.worldcat.org/fast/1022019,Tunnels,http://id.worldcat.org/fast/1158996,Power-plants,http://id.worldcat.org/fast/1074429,,,"Almaden Mine (Clear Creek, Colorado, United States, North America) (mine)",GNIS: 1685419,,,,,,,narv_mcLean_001_d.tif,,,University of Colorado Boulder Libraries Rare and Distinctive Collections,,COU:1059,,,,,,image/tiff,reformatted digital,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",http://rightsstatements.org/vocab/NoC-US/1.0/
Lachlan McLean Photograph Collection,Breast of Baby Eddie Tunnel Colo,,"McLean, Lachlan, 1843-1929",http://id.worldcat.org/fast/49182,Still image,http://id.loc.gov/vocabulary/resourceTypes/img,Photographs,http://id.loc.gov/authorities/genreForms/gf2017027249,,,,1872/1927,,,,English,http://id.loc.gov/vocabulary/iso639-2/eng,eng,1 glass plate negative,,glass plate negatives,http://vocab.getty.edu/page/aat/300393160,black-and-white photographs,http://vocab.getty.edu/page/aat/300128347,A miner hammers away material inside the Baby Eddie Tunnel in Colorado.,,,,Mines and mineral resources,http://id.worldcat.org/fast/1022541,Tunnels,http://id.worldcat.org/fast/1158996,Miners,http://id.worldcat.org/fast/1022485,,,,,"Baby Eddie Tunnel (Clear Creek, Colorado, United States, North America) (mine)",GNIS: 181980,,,,,,,narv_mcLean_007_d.tif,,,University of Colorado Boulder Libraries Rare and Distinctive Collections,,COU:1059,,,,,,image/tiff,reformatted digital,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",http://rightsstatements.org/vocab/NoC-US/1.0/
Lachlan McLean Photograph Collection,Baby Eddie Tunnel Colo,,"McLean, Lachlan, 1843-1929",http://id.worldcat.org/fast/49182,Still image,http://id.loc.gov/vocabulary/resourceTypes/img,Photographs,http://id.loc.gov/authorities/genreForms/gf2017027249,,,,1872/1927,,,,English,http://id.loc.gov/vocabulary/iso639-2/eng,eng,1 glass plate negative,,glass plate negatives,http://vocab.getty.edu/page/aat/300393160,black-and-white photographs,http://vocab.getty.edu/page/aat/300128347,"Aerial view of the outside entrance to the Baby Eddie mine tunnel in Colorado. Several miners pose outside a small, wooden structure and mine railroad track.",,,,Mines and mineral resources,http://id.worldcat.org/fast/1022541,Mine buildings,http://id.worldcat.org/fast/1022019,Tunnels,http://id.worldcat.org/fast/1158996,Miners,http://id.worldcat.org/fast/1022485,,,"Baby Eddie Tunnel (Clear Creek, Colorado, United States, North America) (mine)",GNIS: 181980,,,,,,,narv_mcLean_008_d.tif,,,University of Colorado Boulder Libraries Rare and Distinctive Collections,,COU:1059,,,,,,image/tiff,reformatted digital,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",http://rightsstatements.org/vocab/NoC-US/1.0/
Lachlan McLean Photograph Collection,Bradley's Soda Water Tunnel,,"McLean, Lachlan, 1843-1929",http://id.worldcat.org/fast/49182,Still image,http://id.loc.gov/vocabulary/resourceTypes/img,Photographs,http://id.loc.gov/authorities/genreForms/gf2017027249,,,,1872/1927,,,,English,http://id.loc.gov/vocabulary/iso639-2/eng,eng,1 glass plate negative,,glass plate negatives,http://vocab.getty.edu/page/aat/300393160,black-and-white photographs,http://vocab.getty.edu/page/aat/300128347,Exterior view of the portal of Bradley's Tunnel. Water rushes in front of the entrance to the tunnel.,,,,Mines and mineral resources,http://id.worldcat.org/fast/1022541,Tunnels,http://id.worldcat.org/fast/1158996,,,,,,,"Colorado (United States, North America) (first order administrative division)",http://id.loc.gov/authorities/names/n80125532,,,,,,,narv_mcLean_009_d.tif,,,University of Colorado Boulder Libraries Rare and Distinctive Collections,,COU:1059,,,,,,image/tiff,reformatted digital,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",http://rightsstatements.org/vocab/NoC-US/1.0/
Lachlan McLean Photograph Collection,Banty Shaft House,,"McLean, Lachlan, 1843-1929",http://id.worldcat.org/fast/49182,Still image,http://id.loc.gov/vocabulary/resourceTypes/img,Photographs,http://id.loc.gov/authorities/genreForms/gf2017027249,,,,1901-12-20,,,,English,http://id.loc.gov/vocabulary/iso639-2/eng,eng,1 glass plate negative,,glass plate negatives,http://vocab.getty.edu/page/aat/300393160,black-and-white photographs,http://vocab.getty.edu/page/aat/300128347,Exterior view of the Banty Mine complex including the shaft house. A miner kneels outside the shaft house. There is a horse-drawn carriage parked next to a tree in the middle of the photograph. [Cataloger's note: photograph very similar to narv_mcLean011_d.tif. Miner's pose is slightly different.],,,,Mines and mineral resources,http://id.worldcat.org/fast/1022541,Mine buildings,http://id.worldcat.org/fast/1022019,Tunnels,http://id.worldcat.org/fast/1158996,Mine shafts,http://id.worldcat.org/fast/1022160,,,"Banty Mine (Clear Creek, Colorado, United States, North America) (mine)",GNIS: 1693978,,,,,,,narv_mcLean_010_d.tif,,,University of Colorado Boulder Libraries Rare and Distinctive Collections,,COU:1059,,,,,,image/tiff,reformatted digital,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",http://rightsstatements.org/vocab/NoC-US/1.0/
Lachlan McLean Photograph Collection,Banty Shaft House,,"McLean, Lachlan, 1843-1929",http://id.worldcat.org/fast/49182,Still image,http://id.loc.gov/vocabulary/resourceTypes/img,Photographs,http://id.loc.gov/authorities/genreForms/gf2017027249,,,,1901-12-20,,,,English,http://id.loc.gov/vocabulary/iso639-2/eng,eng,1 glass plate negative,,glass plate negatives,http://vocab.getty.edu/page/aat/300393160,black-and-white photographs,http://vocab.getty.edu/page/aat/300128347,Exterior view of the Banty Mine complex including the shaft house. A miner kneels outside the shaft house. There is a horse-drawn carriage parked next to a tree in the middle of the photograph. [Cataloger's note: photograph very similar to narv_mcLean010_d.tif. Miner's pose is slightly different.],,,,Mines and mineral resources,http://id.worldcat.org/fast/1022541,Mine buildings,http://id.worldcat.org/fast/1022019,Tunnels,http://id.worldcat.org/fast/1158996,Mine shafts,http://id.worldcat.org/fast/1022160,,,"Banty Mine (Clear Creek, Colorado, United States, North America) (mine)",GNIS: 1693978,,,,,,,narv_mcLean_011_d.tif,,,University of Colorado Boulder Libraries Rare and Distinctive Collections,,COU:1059,,,,,,image/tiff,reformatted digital,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",http://rightsstatements.org/vocab/NoC-US/1.0/
Lachlan McLean Photograph Collection,The Big Revenue Tunnel No. 2,,"McLean, Lachlan, 1843-1929",http://id.worldcat.org/fast/49182,Still image,http://id.loc.gov/vocabulary/resourceTypes/img,Photographs,http://id.loc.gov/authorities/genreForms/gf2017027249,,,,1872/1927,,,,English,http://id.loc.gov/vocabulary/iso639-2/eng,eng,1 glass plate negative,,glass plate negatives,http://vocab.getty.edu/page/aat/300393160,black-and-white photographs,http://vocab.getty.edu/page/aat/300128347,Two miners talk near the portal of The Big Revenue Tunnel No. 2.,,,,Mines and mineral resources,http://id.worldcat.org/fast/1022541,Tunnels,http://id.worldcat.org/fast/1158996,Miners,http://id.worldcat.org/fast/1022485,,,,,"Colorado (United States, North America) (first order administrative division)",http://id.loc.gov/authorities/names/n80125532,,,,,,,narv_mcLean_012_d.tif,,,University of Colorado Boulder Libraries Rare and Distinctive Collections,,COU:1059,,,,,,image/tiff,reformatted digital,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",http://rightsstatements.org/vocab/NoC-US/1.0/
Lachlan McLean Photograph Collection,The Bride Leasing Co.,,"McLean, Lachlan, 1843-1929",http://id.worldcat.org/fast/49182,Still image,http://id.loc.gov/vocabulary/resourceTypes/img,Photographs,http://id.loc.gov/authorities/genreForms/gf2017027249,,,,1872/1927,,,,English,http://id.loc.gov/vocabulary/iso639-2/eng,eng,1 glass plate negative,,glass plate negatives,http://vocab.getty.edu/page/aat/300393160,black-and-white photographs,http://vocab.getty.edu/page/aat/300128347,A group of miners pose outside the portal to a mine owned by The Bridge Leasing Company. There are also two horses each attached to a train of mine carts on rail tracks.,,,,Mines and mineral resources,http://id.worldcat.org/fast/1022541,Portraits,http://id.worldcat.org/fast/1423831,Miners,http://id.worldcat.org/fast/1022485,Mine railroad cars,http://id.worldcat.org/fast/1430771,,,"Colorado (United States, North America) (first order administrative division)",http://id.loc.gov/authorities/names/n80125532,,,,,,,narv_mcLean_013_d.tif,,,University of Colorado Boulder Libraries Rare and Distinctive Collections,,COU:1059,,,,,,image/tiff,reformatted digital,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",http://rightsstatements.org/vocab/NoC-US/1.0/
Lachlan McLean Photograph Collection,Brest of Burns-Moore Tunnel Colo,,"McLean, Lachlan, 1843-1929",http://id.worldcat.org/fast/49182,Still image,http://id.loc.gov/vocabulary/resourceTypes/img,Photographs,http://id.loc.gov/authorities/genreForms/gf2017027249,,,,1901-08,,,,English,http://id.loc.gov/vocabulary/iso639-2/eng,eng,1 glass plate negative,,glass plate negatives,http://vocab.getty.edu/page/aat/300393160,black-and-white photographs,http://vocab.getty.edu/page/aat/300128347,Five miners hammer away rock within the Burns-Moore Tunnel in Colorado.,,,,Mines and mineral resources,http://id.worldcat.org/fast/1022541,Miners,http://id.worldcat.org/fast/1022485,Tunnels,http://id.worldcat.org/fast/1158996,,,,,"Burns Moore Mine (Clear Creek, Colorado, United States, North America) (mine)",GNIS: 1694024,,,,,,,narv_mcLean_014_d.tif,,,University of Colorado Boulder Libraries Rare and Distinctive Collections,,COU:1059,,,,,,image/tiff,reformatted digital,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",http://rightsstatements.org/vocab/NoC-US/1.0/
Lachlan McLean Photograph Collection,Burns-Moore Tunnel and Power House,,"McLean, Lachlan, 1843-1929",http://id.worldcat.org/fast/49182,Still image,http://id.loc.gov/vocabulary/resourceTypes/img,Photographs,http://id.loc.gov/authorities/genreForms/gf2017027249,,,,1872/1927,,,,English,http://id.loc.gov/vocabulary/iso639-2/eng,eng,1 glass plate negative,,glass plate negatives,http://vocab.getty.edu/page/aat/300393160,black-and-white photographs,http://vocab.getty.edu/page/aat/300128347,Aerial view of the Burns-Moore mine complex including the tunnel and power house. A small group of miners pose outside the tunnel portal with a filled mine cart.,,,,Mines and mineral resources,http://id.worldcat.org/fast/1022541,Mine buildings,http://id.worldcat.org/fast/1022019,Tunnels,http://id.worldcat.org/fast/1158996,Power-plants,http://id.worldcat.org/fast/1074429,,,"Burns Moore Mine (Clear Creek, Colorado, United States, North America) (mine)",GNIS: 1694024,,,,,,,narv_mcLean_016a_d.tif,,,University of Colorado Boulder Libraries Rare and Distinctive Collections,,COU:1059,,,,,,image/tiff,reformatted digital,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",http://rightsstatements.org/vocab/NoC-US/1.0/
