Collection Name,Title#1,Name#1,Name URI#1,Resource Type#1,Resource Type URI#1,Genre#1,Genre URI#1,Date Created#1,Language Term#1,Language Term URI#1,Language Term Type#1,Extent#1,Form#1,Form URI#1,Form#2,Form URI#2,Abstract#1,Subject Topic#1,Subject Topic URI#1,Subject Topic#2,Subject Topic URI#2,Subject Topic#3,Subject Topic URI#3,Subject Topic#4,Subject Topic URI#4,Subject Geographic#1,Subject Geographic URI#1,Subject Genre#1,Subject Genre URI#1,Identifier#1,Identifier ARK#1,Physical Location#1,Shelf Locator#1,Internet Media Type#1,Digital Origin#1,Access Condition#1,Access Condition URI#1,ln_RECORDID,ln_RECORD_BATCHID,lnexp_MEDIAFILENAME,lnexp_PAGEURL
Lachlan McLean Photograph Collection,4 C Mine,"McLean, Lachlan, 1843-1929",http://id.worldcat.org/fast/49182,Still image,http://id.loc.gov/vocabulary/resourceTypes/img,Photographs,http://id.loc.gov/authorities/genreForms/gf2017027249,1872/1927,English,http://id.loc.gov/vocabulary/iso639-2/eng,eng,1 glass plate negative,glass plate negatives,http://vocab.getty.edu/page/aat/300393160,black-and-white photographs,http://vocab.getty.edu/page/aat/300128347,Exterior view of the portal of the 4 C Mine in Colorado.,Mines and mineral resources,http://id.worldcat.org/fast/1022541,Mine buildings,http://id.worldcat.org/fast/1022019,Mills and mill-work,http://id.worldcat.org/fast/1021870,,,"Colorado (United States, North America) (first order administrative division)",http://id.loc.gov/authorities/names/n80125532,,,narv_mcLean_031_d.tif,https://ark.colorado.edu/ark:/47540/k07c0979k449,University of Colorado Boulder Libraries Rare and Distinctive Collections,COU:1059,image/tiff,reformatted digital,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",http://rightsstatements.org/vocab/NoC-US/1.0/,23,4893,narv_mcLean_031_d.tif,https://cudl.colorado.edu//luna/servlet/detail/CUB~28~28~23~293833
Lachlan McLean Photograph Collection,4 C Mine,"McLean, Lachlan, 1843-1929",http://id.worldcat.org/fast/49182,Still image,http://id.loc.gov/vocabulary/resourceTypes/img,Photographs,http://id.loc.gov/authorities/genreForms/gf2017027249,1872/1927,English,http://id.loc.gov/vocabulary/iso639-2/eng,eng,1 glass plate negative,glass plate negatives,http://vocab.getty.edu/page/aat/300393160,black-and-white photographs,http://vocab.getty.edu/page/aat/300128347,Exterior view of the portal of the 4 C Mine in Colorado.,Mines and mineral resources,http://id.worldcat.org/fast/1022541,Mine buildings,http://id.worldcat.org/fast/1022019,Mills and mill-work,http://id.worldcat.org/fast/1021870,,,"Colorado (United States, North America) (first order administrative division)",http://id.loc.gov/authorities/names/n80125532,,,narv_mcLean_030_d.tif,https://ark.colorado.edu/ark:/47540/d4492g44782h,University of Colorado Boulder Libraries Rare and Distinctive Collections,COU:1059,image/tiff,reformatted digital,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",http://rightsstatements.org/vocab/NoC-US/1.0/,22,4893,narv_mcLean_030_d.tif,https://cudl.colorado.edu//luna/servlet/detail/CUB~28~28~22~293834
Lachlan McLean Photograph Collection,Aerial view of Castle Eyrie in Idaho Springs,"McLean, Lachlan, 1843-1929",http://id.worldcat.org/fast/49182,Still image,http://id.loc.gov/vocabulary/resourceTypes/img,Photographs,http://id.loc.gov/authorities/genreForms/gf2017027249,1872/1927,English,http://id.loc.gov/vocabulary/iso639-2/eng,eng,1 glass plate negative,glass plate negatives,http://vocab.getty.edu/page/aat/300393160,black-and-white photographs,http://vocab.getty.edu/page/aat/300128347,"Aerial view of the exterior of Castle Eyrie and other town buildings in Idaho Springs, Colorado.",Castles,http://id.worldcat.org/fast/848428,Cities and towns,http://id.worldcat.org/fast/861748,Landscapes,http://id.worldcat.org/fast/1735625,,,"Idaho Springs (Clear Creek, Colorado, United States, North America) (populated place)",GNIS: 204710,,,narv_mcLean_463_d.tif,https://ark.colorado.edu/ark:/47540/7v762t5229tg,University of Colorado Boulder Libraries Rare and Distinctive Collections,COU:1059,image/tiff,reformatted digital,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",http://rightsstatements.org/vocab/NoC-US/1.0/,163,4893,narv_mcLean_463_d.tif,https://cudl.colorado.edu//luna/servlet/detail/CUB~28~28~163~293919
Lachlan McLean Photograph Collection,Aerial view of Garden of the Gods,"McLean, Lachlan, 1843-1929",http://id.worldcat.org/fast/49182,Still image,http://id.loc.gov/vocabulary/resourceTypes/img,Photographs,http://id.loc.gov/authorities/genreForms/gf2017027249,1872/1927,English,http://id.loc.gov/vocabulary/iso639-2/eng,eng,1 glass plate negative,glass plate negatives,http://vocab.getty.edu/page/aat/300393160,black-and-white photographs,http://vocab.getty.edu/page/aat/300128347,Stereoscopic photograph of an aerial view of the Garden of the Gods park in Colorado Springs.,Rock formations,local,National parks and reserves,http://id.worldcat.org/fast/1033642,Rocks,http://id.worldcat.org/fast/1099409,Landscapes,http://id.worldcat.org/fast/1735625,"Garden of the Gods (El Paso, Colorado, United States, North America) (park)",GNIS: 203674,,,narv_mcLean_570_d.tif,https://ark.colorado.edu/ark:/47540/pb5p9p1781vk,University of Colorado Boulder Libraries Rare and Distinctive Collections,COU:1059,image/tiff,reformatted digital,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",http://rightsstatements.org/vocab/NoC-US/1.0/,199,4893,narv_mcLean_570_d.tif,https://cudl.colorado.edu//luna/servlet/detail/CUB~28~28~199~293947
Lachlan McLean Photograph Collection,Aerial view of the Cliff House in Idaho Springs,"McLean, Lachlan, 1843-1929",http://id.worldcat.org/fast/49182,Still image,http://id.loc.gov/vocabulary/resourceTypes/img,Photographs,http://id.loc.gov/authorities/genreForms/gf2017027249,1872/1927,English,http://id.loc.gov/vocabulary/iso639-2/eng,eng,1 glass plate negative,glass plate negatives,http://vocab.getty.edu/page/aat/300393160,black-and-white photographs,http://vocab.getty.edu/page/aat/300128347,"Aerial view of the Cliff House and other town buildings in Idaho Springs, Colorado.",Cities and towns,http://id.worldcat.org/fast/861748,Landscapes,http://id.worldcat.org/fast/1735625,Mountains,http://id.worldcat.org/fast/1028366,,,"Idaho Springs (Clear Creek, Colorado, United States, North America) (populated place)",GNIS: 204710,,,narv_mcLean_506_d.tif,https://ark.colorado.edu/ark:/47540/ps8n6n8522k4,University of Colorado Boulder Libraries Rare and Distinctive Collections,COU:1059,image/tiff,reformatted digital,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",http://rightsstatements.org/vocab/NoC-US/1.0/,187,4893,narv_mcLean_506_d.tif,https://cudl.colorado.edu//luna/servlet/detail/CUB~28~28~187~293959
Lachlan McLean Photograph Collection,Aerial view of unidentified mines,"McLean, Lachlan, 1843-1929",http://id.worldcat.org/fast/49182,Still image,http://id.loc.gov/vocabulary/resourceTypes/img,Photographs,http://id.loc.gov/authorities/genreForms/gf2017027249,1872/1927,English,http://id.loc.gov/vocabulary/iso639-2/eng,eng,1 glass plate negative,glass plate negatives,http://vocab.getty.edu/page/aat/300393160,black-and-white photographs,http://vocab.getty.edu/page/aat/300128347,Aerial view of unidentified mines and cabins in the high country of Colorado.,Mines and mineral resources,http://id.worldcat.org/fast/1022541,Mine buildings,http://id.worldcat.org/fast/1022019,Mountains,http://id.worldcat.org/fast/1028366,,,"Colorado (United States, North America) (first order administrative division)",http://id.loc.gov/authorities/names/n80125532,,,narv_mcLean_349a_d.tif,https://ark.colorado.edu/ark:/47540/rm3d81062756,University of Colorado Boulder Libraries Rare and Distinctive Collections,COU:1059,image/tiff,reformatted digital,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",http://rightsstatements.org/vocab/NoC-US/1.0/,131,4893,narv_mcLean_349a_d.tif,https://cudl.colorado.edu//luna/servlet/detail/CUB~28~28~131~294011
Lachlan McLean Photograph Collection,Alma Lincoln Mine,"McLean, Lachlan, 1843-1929",http://id.worldcat.org/fast/49182,Still image,http://id.loc.gov/vocabulary/resourceTypes/img,Photographs,http://id.loc.gov/authorities/genreForms/gf2017027249,1872/1927,English,http://id.loc.gov/vocabulary/iso639-2/eng,eng,1 glass plate negative,glass plate negatives,http://vocab.getty.edu/page/aat/300393160,black-and-white photographs,http://vocab.getty.edu/page/aat/300128347,Exterior view of the Alma Lincoln Mine. Several men pose in front of the base of a tall railroad track built over another railroad track.,Mines and mineral resources,http://id.worldcat.org/fast/1022541,Mine buildings,http://id.worldcat.org/fast/1022019,Mine railroads,http://id.worldcat.org/fast/1022101,Miners,http://id.worldcat.org/fast/1022485,"Alma Lincoln Mine (Clear Creek, Colorado, United States, North America) (mine)",GNIS: 181990,,,narv_mcLean_331_d.tif,https://ark.colorado.edu/ark:/47540/3993191209qh,University of Colorado Boulder Libraries Rare and Distinctive Collections,COU:1059,image/tiff,reformatted digital,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",http://rightsstatements.org/vocab/NoC-US/1.0/,128,4893,narv_mcLean_331_d.tif,https://cudl.colorado.edu//luna/servlet/detail/CUB~28~28~128~294014
Lachlan McLean Photograph Collection,Alma Lincoln Mine,"McLean, Lachlan, 1843-1929",http://id.worldcat.org/fast/49182,Still image,http://id.loc.gov/vocabulary/resourceTypes/img,Photographs,http://id.loc.gov/authorities/genreForms/gf2017027249,1872/1927,English,http://id.loc.gov/vocabulary/iso639-2/eng,eng,1 glass plate negative,glass plate negatives,http://vocab.getty.edu/page/aat/300393160,black-and-white photographs,http://vocab.getty.edu/page/aat/300128347,Exterior view of the Alma Lincoln Mine. Several men pose in front of the base of a tall railroad track built over another railroad track.,Mines and mineral resources,http://id.worldcat.org/fast/1022541,Mine buildings,http://id.worldcat.org/fast/1022019,Mine railroads,http://id.worldcat.org/fast/1022101,Miners,http://id.worldcat.org/fast/1022485,"Alma Lincoln Mine (Clear Creek, Colorado, United States, North America) (mine)",GNIS: 181990,,,narv_mcLean_323_d.tif,https://ark.colorado.edu/ark:/47540/b60j8v271506,University of Colorado Boulder Libraries Rare and Distinctive Collections,COU:1059,image/tiff,reformatted digital,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",http://rightsstatements.org/vocab/NoC-US/1.0/,120,4893,narv_mcLean_323_d.tif,https://cudl.colorado.edu//luna/servlet/detail/CUB~28~28~120~294022
Lachlan McLean Photograph Collection,Alma Lincoln Mine,"McLean, Lachlan, 1843-1929",http://id.worldcat.org/fast/49182,Still image,http://id.loc.gov/vocabulary/resourceTypes/img,Photographs,http://id.loc.gov/authorities/genreForms/gf2017027249,1872/1927,English,http://id.loc.gov/vocabulary/iso639-2/eng,eng,1 glass plate negative,glass plate negatives,http://vocab.getty.edu/page/aat/300393160,black-and-white photographs,http://vocab.getty.edu/page/aat/300128347,Exterior view of the Alma Lincoln Mine with a river in the foreground.,Mines and mineral resources,http://id.worldcat.org/fast/1022541,Mine buildings,http://id.worldcat.org/fast/1022019,Rivers,http://id.worldcat.org/fast/1098312,Mills and mill-work,http://id.worldcat.org/fast/1021870,"Alma Lincoln Mine (Clear Creek, Colorado, United States, North America) (mine)",GNIS: 181990,,,narv_mcLean_318_d.tif,https://ark.colorado.edu/ark:/47540/dz2f7346j6v7,University of Colorado Boulder Libraries Rare and Distinctive Collections,COU:1059,image/tiff,reformatted digital,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",http://rightsstatements.org/vocab/NoC-US/1.0/,115,4893,narv_mcLean_318_d.tif,https://cudl.colorado.edu//luna/servlet/detail/CUB~28~28~115~294027
Lachlan McLean Photograph Collection,Almaden Mine Power House and Blazing Star Tunnel,"McLean, Lachlan, 1843-1929",http://id.worldcat.org/fast/49182,Still image,http://id.loc.gov/vocabulary/resourceTypes/img,Photographs,http://id.loc.gov/authorities/genreForms/gf2017027249,1872/1927,English,http://id.loc.gov/vocabulary/iso639-2/eng,eng,1 glass plate negative,glass plate negatives,http://vocab.getty.edu/page/aat/300393160,black-and-white photographs,http://vocab.getty.edu/page/aat/300128347,Aerial view of the Almaden Mine Power House and Blazing Star Tunnel. A miner stands outside the power house.,Mines and mineral resources,http://id.worldcat.org/fast/1022541,Mine buildings,http://id.worldcat.org/fast/1022019,Tunnels,http://id.worldcat.org/fast/1158996,Power-plants,http://id.worldcat.org/fast/1074429,"Almaden Mine (Clear Creek, Colorado, United States, North America) (mine)",GNIS: 1685419,,,narv_mcLean_001_d.tif,https://ark.colorado.edu/ark:/47540/6z7s7s98v1jw,University of Colorado Boulder Libraries Rare and Distinctive Collections,COU:1059,image/tiff,reformatted digital,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",http://rightsstatements.org/vocab/NoC-US/1.0/,1,4893,narv_mcLean_001_d.tif,https://cudl.colorado.edu//luna/servlet/detail/CUB~28~28~1~293855
